Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,CoG_($),Microorganism
1771297592,0.909623015,1000000,3.75,0.05298374,0.589259194,B. thuringiensis (Batch)
1975079837,0.839270157,1000000,3.75,0.092671077,0.568248209,B. thuringiensis (Batch)
1621654749,0.828036625,1000000,3.75,0.099060406,0.700585333,B. thuringiensis (Batch)
1843780960,0.921443495,1000000,3.75,0.089441602,0.554787922,B. thuringiensis (Batch)
1756801564,0.84289501,1000000,3.75,0.05432285,0.640984745,B. thuringiensis (Batch)
1755977569,0.78934608,1000000,3.75,0.094626901,0.67931017,B. thuringiensis (Batch)
1670917950,0.90640519,1000000,3.75,0.06789479,0.625020852,B. thuringiensis (Batch)
1594010629,0.742927285,1000000,3.75,0.069704867,0.799057371,B. thuringiensis (Batch)
1569355165,0.809879076,1000000,3.75,0.008590003,0.753577906,B. thuringiensis (Batch)
1863429448,0.846936686,1000000,3.75,0.09476621,0.596593514,B. thuringiensis (Batch)
1785961187,0.815381935,1000000,3.75,0.124587979,0.642701401,B. thuringiensis (Batch)
1741248760,0.814451507,1000000,3.75,0.084278781,0.665314608,B. thuringiensis (Batch)
1583969024,0.834648785,1000000,3.75,0.066644954,0.716192245,B. thuringiensis (Batch)
1759809467,0.883890098,1000000,3.75,0.143988136,0.599347348,B. thuringiensis (Batch)
1732868276,0.775602428,1000000,3.75,0.077077082,0.70302806,B. thuringiensis (Batch)
1914124007,0.796909904,1000000,3.75,0.086390619,0.618287671,B. thuringiensis (Batch)
1899550456,0.835828658,1000000,3.75,0.089024999,0.593708291,B. thuringiensis (Batch)
1643098167,0.816990823,1000000,3.75,0.096460256,0.701155677,B. thuringiensis (Batch)
1894625685,0.843400582,1000000,3.75,0.089255552,0.589880269,B. thuringiensis (Batch)
1811937262,0.824916341,1000000,3.75,0.079731699,0.631821359,B. thuringiensis (Batch)
1688004033,0.84080596,1000000,3.75,0.038773422,0.670831376,B. thuringiensis (Batch)
1751211922,0.813243896,1000000,3.75,0.078376803,0.663292759,B. thuringiensis (Batch)
1850334813,0.744137086,1000000,3.75,0.072988723,0.686796529,B. thuringiensis (Batch)
