#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis,
190,12849649374,0.86124417,1000000,2.541666667,0.080224413,0.099081315,
191,12219705691,0.743359236,1000000,2.541666667,0.081483247,0.120625353,
192,11179072788,0.925888178,1000000,2.541666667,0.027461132,0.109117425,
193,13923286672,0.767251458,1000000,2.541666667,0.100913108,0.101434583,
194,10906187023,0.844419105,1000000,2.541666667,0.040956208,0.121724242,
195,10759562704,0.849604387,1000000,2.541666667,0.029821016,0.123390131,
196,10775827692,0.770831892,1000000,2.541666667,0.118626209,0.129122614,
197,12644983605,0.714037209,1000000,2.541666667,0.052438626,0.123362758,
198,10549092495,0.828985514,1000000,2.541666667,0.091931992,0.12455006,
199,11133822315,0.866789131,1000000,2.541666667,0.10959194,0.111720204,
200,9872090475,0.89984786,1000000,2.541666667,0.074744925,0.123817871,
201,10433244484,0.879542074,1000000,2.541666667,0.04215976,0.12207901,
202,12160339541,0.82799181,1000000,2.541666667,0.011249028,0.113177362,
203,11971540958,0.851246743,1000000,2.541666667,0.044529103,0.109783712,
204,12816527978,0.869930772,1000000,2.541666667,0.069549452,0.098942917,
205,10639356839,0.793245006,1000000,2.541666667,0.133239419,0.126003204,
206,12181601702,0.865574355,1000000,2.541666667,0.094524041,0.103145854,
207,13714023872,0.836540689,1000000,2.541666667,0.103722505,0.094299708,
208,11097887689,0.83538853,1000000,2.541666667,0.068907118,0.119033371,
209,12751546234,0.894222052,1000000,2.541666667,0.063170292,0.097094786,
210,13036296511,0.840325509,1000000,2.541666667,0.015442813,0.103784141,
211,9585778841,0.821379939,1000000,2.541666667,0.044467337,0.14209765,
212,11178289777,0.883000198,1000000,2.541666667,0.096719969,0.110046653,
213,10905530346,0.908644903,1000000,2.541666667,0.004695851,0.115410693,
214,14371392941,0.747817223,1000000,2.541666667,0.075130593,0.102322745,
215,13396616802,0.754989102,1000000,2.541666667,0.082757751,0.10825474,
216,10933638840,0.848220711,1000000,2.541666667,0.094837036,0.117248948,
217,14892340147,0.867997794,1000000,2.541666667,0.112499633,0.083267666,
218,12922567945,0.797605503,1000000,2.541666667,0.097972293,0.10530851,
